7,21,15,21,21,10,1,21,6,21,21,14,2,0,21,21
21,8,21,6,4,21,21,7,5,21,21,21,12,21,1,21
12,21,21,21,21,5,6,21,3,21,21,21,21,21,21,21
3,10,5,14,21,0,8,12,4,21,21,21,13,21,21,21
21,1,10,21,21,21,3,15,8,21,21,12,21,21,13,7
2,21,21,21,21,12,13,21,21,21,21,1,21,21,21,15
21,9,21,12,21,4,21,21,21,6,21,21,0,21,21,2
21,21,7,15,21,21,10,21,21,3,21,21,21,9,8,21
21,21,13,21,21,1,21,21,21,8,21,21,21,21,6,21
6,21,2,21,21,21,21,10,21,13,21,5,21,21,21,21
21,4,21,5,11,21,21,21,21,21,6,21,1,13,21,21
11,21,8,21,21,21,9,0,21,21,21,10,5,21,2,4
0,21,4,10,12,21,21,13,15,21,21,21,21,11,21,21
21,21,14,21,21,21,21,3,21,9,1,11,21,21,21,21
21,5,21,21,15,21,21,2,14,12,21,21,6,21,21,21
21,21,3,11,7,21,4,21,21,21,10,8,21,12,21,21
