8,0,16,0,0,11,2,0,7,0,0,15,3,1,0,0
0,9,0,7,5,0,0,8,6,0,0,0,13,0,2,0
13,0,0,0,0,6,7,0,4,0,0,0,0,0,0,0
4,11,6,15,0,1,9,13,5,0,0,0,14,0,0,0
0,2,11,0,0,0,4,16,9,0,0,13,0,0,14,8
3,0,0,0,0,13,14,0,0,0,0,2,0,0,0,16
0,10,0,13,0,5,0,0,0,7,0,0,1,0,0,3
0,0,8,16,0,0,11,0,0,4,0,0,0,10,9,0
0,0,14,0,0,2,0,0,0,9,0,0,0,0,7,0
7,0,3,0,0,0,0,11,0,14,0,6,0,0,0,0
0,5,0,6,12,0,0,0,0,0,7,0,2,14,0,0
12,0,9,0,0,0,10,1,0,0,0,11,6,0,3,5
1,0,5,11,13,0,0,14,16,0,0,0,0,12,0,0
0,0,15,0,0,0,0,4,0,10,2,12,0,0,0,0
0,6,0,0,16,0,0,3,15,13,0,0,7,0,0,0
0,0,4,12,8,0,5,0,0,0,11,9,0,13,0,0
